Date;Event Type;Event Details;Check Point;Tour ID;Guard Name;Image | Audio | Video
07/08/2022 08:20;MME;;303957 - CP5-BF;170;Security 1 (40e0d01078);? |  |
07/08/2022 08:19;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;170;Security 1 (40e0d01078);|  |
07/08/2022 08:19;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;170;Security 1 (40e0d01078);|  |
07/08/2022 08:19;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;170;Security 1 (40e0d01078);|  |
07/08/2022 08:19;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;170;Security 1 (40e0d01078);|  |
07/08/2022 08:19;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;170;Security 1 (40e0d01078);|  |
07/08/2022 08:19;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;170;Security 1 (40e0d01078);|  |
07/08/2022 08:19;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;170;Security 1 (40e0d01078);|  |
07/08/2022 08:19;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;170;Security 1 (40e0d01078);|  |
07/08/2022 08:11;MME;;303958 - CP1-BF;170;Security 1 (40e0d01078);? |  |
07/08/2022 08:11;NFCSCAN;LYG  - Majalengka;303958 - CP1-BF;170;Security 1 (40e0d01078);|  |
07/08/2022 08:09;MME;;303974 - CP2-BF;170;Security 1 (40e0d01078);? |  |
07/08/2022 08:08;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;170;Security 1 (40e0d01078);|  |
07/08/2022 08:08;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;170;Security 1 (40e0d01078);|  |
07/08/2022 08:08;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;170;Security 1 (40e0d01078);|  |
07/08/2022 08:07;START;;;170;Security 1 (40e0d01078);|  |
07/08/2022 08:00;MISSEDSCAN;Schedule: 13843704 - BF-6am Loose Schedule;304781 - CP9-BF;0;Security 1 (40e0d01078);|  |
07/08/2022 06:12;FINISH;;;169;Security 1 (40e0d01078);|  |
07/08/2022 06:12;MME;;303958 - CP1-BF;169;Security 1 (40e0d01078);? |  |
07/08/2022 06:11;MME;;303958 - CP1-BF;169;Security 1 (40e0d01078);? |  |
07/08/2022 06:11;NFCSCAN;LYG  - Majalengka;303958 - CP1-BF;169;Security 1 (40e0d01078);|  |
07/08/2022 06:11;MME;;;169;Security 1 (40e0d01078);? |  |
07/08/2022 06:10;NFCSCAN;LYG  - Majalengka;303958 - CP1-BF;169;Security 1 (40e0d01078);|  |
07/08/2022 06:08;MME;;303957 - CP5-BF;169;Security 1 (40e0d01078);? |  |
07/08/2022 06:07;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;169;Security 1 (40e0d01078);|  |
07/08/2022 06:05;MME;;303974 - CP2-BF;169;Security 1 (40e0d01078);? |  |
07/08/2022 06:04;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;169;Security 1 (40e0d01078);|  |
07/08/2022 06:04;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;169;Security 1 (40e0d01078);|  |
07/08/2022 06:04;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;169;Security 1 (40e0d01078);|  |
07/08/2022 06:04;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;169;Security 1 (40e0d01078);|  |
07/08/2022 06:04;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;169;Security 1 (40e0d01078);|  |
07/08/2022 06:04;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;169;Security 1 (40e0d01078);|  |
07/08/2022 06:03;START;;;169;Security 1 (40e0d01078);|  |
07/08/2022 05:22;FINISH;;;168;Security 1 (40e0d01078);|  |
07/08/2022 05:19;MME;;304782 - CP8-GF;168;Security 1 (40e0d01078);? |  |
07/08/2022 05:18;NFCSCAN;LYG  - Majalengka;304782 - CP8-GF;168;Security 1 (40e0d01078);|  |
07/08/2022 05:15;MME;;304783 - CP2-GF;168;Security 1 (40e0d01078);? |  |
07/08/2022 05:15;NFCSCAN;LYG  - Majalengka;304783 - CP2-GF;168;Security 1 (40e0d01078);|  |
07/08/2022 05:14;START;;;168;Security 1 (40e0d01078);|  |
07/08/2022 05:00;MISSEDSCAN;Schedule: 13842867 - 2ND-3RD-4TH-4am Loose Schedule;303956 - CP4-3F;0;Security 1 (40e0d01078);|  |
07/08/2022 05:00;MISSEDSCAN;Schedule: 13842867 - 2ND-3RD-4TH-4am Loose Schedule;303955 - CP4-4F;0;Security 1 (40e0d01078);|  |
07/08/2022 04:38;FINISH;;;167;Security 1 (40e0d01078);|  |
07/08/2022 04:38;MME;;304785 - CP4-2F;167;Security 1 (40e0d01078);? |  |
07/08/2022 04:38;NFCSCAN;LYG  - Majalengka;304785 - CP4-2F;167;Security 1 (40e0d01078);|  |
07/08/2022 04:34;START;;;167;Security 1 (40e0d01078);|  |
07/08/2022 03:20;FINISH;;;166;Security 1 (40e0d01078);|  |
07/08/2022 03:19;MME;;304783 - CP2-GF;166;Security 1 (40e0d01078);? |  |
07/08/2022 03:19;NFCSCAN;LYG  - Majalengka;304783 - CP2-GF;166;Security 1 (40e0d01078);|  |
07/08/2022 03:16;MME;;304782 - CP8-GF;166;Security 1 (40e0d01078);? |  |
07/08/2022 03:16;NFCSCAN;LYG  - Majalengka;304782 - CP8-GF;166;Security 1 (40e0d01078);|  |
07/08/2022 03:15;START;;;166;Security 1 (40e0d01078);|  |
07/08/2022 03:00;MISSEDSCAN;Schedule: 13832065 - 2ND-3RD-4TH-2am Loose Schedule;303956 - CP4-3F;0;Security 1 (40e0d01078);|  |
07/08/2022 03:00;MISSEDSCAN;Schedule: 13832065 - 2ND-3RD-4TH-2am Loose Schedule;303955 - CP4-4F;0;Security 1 (40e0d01078);|  |
07/08/2022 02:18;FINISH;;;165;Security 1 (40e0d01078);|  |
07/08/2022 02:15;MME;;304785 - CP4-2F;165;Security 1 (40e0d01078);? |  |
07/08/2022 02:15;NFCSCAN;LYG  - Majalengka;304785 - CP4-2F;165;Security 1 (40e0d01078);|  |
07/08/2022 02:15;NFCSCAN;LYG  - Majalengka;304785 - CP4-2F;165;Security 1 (40e0d01078);|  |
07/08/2022 02:15;START;;;165;Security 1 (40e0d01078);|  |
07/08/2022 01:17;FINISH;;;164;Security 1 (40e0d01078);|  |
07/08/2022 01:16;MME;;304783 - CP2-GF;164;Security 1 (40e0d01078);? |  |
07/08/2022 01:16;NFCSCAN;LYG  - Majalengka;304783 - CP2-GF;164;Security 1 (40e0d01078);|  |
07/08/2022 01:16;NFCSCAN;LYG  - Majalengka;304783 - CP2-GF;164;Security 1 (40e0d01078);|  |
07/08/2022 01:16;NFCSCAN;LYG  - Majalengka;304783 - CP2-GF;164;Security 1 (40e0d01078);|  |
07/08/2022 01:16;NFCSCAN;LYG  - Majalengka;304783 - CP2-GF;164;Security 1 (40e0d01078);|  |
07/08/2022 01:15;NFCSCAN;LYG  - Majalengka;304783 - CP2-GF;164;Security 1 (40e0d01078);|  |
07/08/2022 01:12;MME;;304782 - CP8-GF;164;Security 1 (40e0d01078);? |  |
07/08/2022 01:12;NFCSCAN;LYG  - Majalengka;304782 - CP8-GF;164;Security 1 (40e0d01078);|  |
07/08/2022 01:12;NFCSCAN;LYG  - Majalengka;304782 - CP8-GF;164;Security 1 (40e0d01078);|  |
07/08/2022 01:11;START;;;164;Security 1 (40e0d01078);|  |
07/08/2022 01:00;MISSEDSCAN;Schedule: 13831343 - BF-0am Loose Schedule;304781 - CP9-BF;0;Security 1 (40e0d01078);|  |
07/08/2022 00:14;FINISH;;;163;Security 1 (40e0d01078);|  |
07/08/2022 00:14;MME;;303974 - CP2-BF;163;Security 1 (40e0d01078);? |  |
07/08/2022 00:14;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;163;Security 1 (40e0d01078);|  |
07/08/2022 00:11;MME;;303958 - CP1-BF;163;Security 1 (40e0d01078);? |  |
